,date,information,related
25,2022-11-04,"Headline: Evergy (EVRG) Q3 Earnings Beat Estimates, 2022 View Tweaked, source:Yahoo, summary: Evergy's (EVRG) third-quarter earnings come in better than expected and the company revises its earnings guidance for 2022., Headline: Xcel Energy Inc. stock rises Friday, still underperforms market, source:MarketWatch, summary: Shares of Xcel Energy Inc. inched 0.61% higher to $65.55 Friday, on what proved to be an all-around positive trading session for the stock market, with the...",XEL
26,2022-11-07,"Headline: Xcel Energy Inc. stock outperforms competitors despite losses on the day, source:MarketWatch, summary: Shares of Xcel Energy Inc. slumped 0.46% to $65.25 Monday, on what proved to be an all-around positive trading session for the stock market, with the S&P 500...",XEL
27,2022-11-08,"Headline: The Best Energy Dividend Stock for a Decade of Passive Income, source:Yahoo, summary: The hype around clean energy investments hit stratospheric heights in 2020 and 2021.  There is a ton of risk in buying into these early-stage clean energy companies since most of them are losing money or not even generating any sales at the moment.  If you want to invest in the clean energy revolution but don't want to add high-risk stocks to your portfolio, utility Xcel Energy (NASDAQ: XEL) is a perfect dividend stock for you., Headline: Xcel Energy Inc. stock outperforms market on strong trading day, source:MarketWatch, summary: Shares of Xcel Energy Inc. advanced 1.29% to $66.09 Tuesday, on what proved to be an all-around positive trading session for the stock market, with the S&P...",XEL
28,2022-11-09,"Headline: Xcel Energy Inc. stock falls Wednesday, still outperforms market, source:MarketWatch, summary: Shares of Xcel Energy Inc. slumped 0.73% to $65.61 Wednesday, on what proved to be an all-around poor trading session for the stock market, with the S&P 500...",XEL
29,2022-11-10,"Headline: Xcel Energy Inc. stock rises Thursday, still underperforms market, source:MarketWatch, summary: Shares of Xcel Energy Inc. rose 5.33% to $69.11 Thursday, on what proved to be an all-around great trading session for the stock market, with the S&P 500...",XEL
30,2022-11-11,"Headline: Morgan Stanley Sticks to Their Hold Rating for Xcel Energy (XEL), source:TipRanks, summary: No summary, Headline: Xcel Energy Inc. stock falls Friday, underperforms market, source:MarketWatch, summary: Shares of Xcel Energy Inc. slipped 2.34% to $67.49 Friday, on what proved to be an all-around positive trading session for the stock market, with the S&P 500...",XEL
31,2022-11-14,"Headline: Xcel Energy Inc. stock falls Monday, underperforms market, source:MarketWatch, summary: Shares of Xcel Energy Inc. shed 0.98% to $66.83 Monday, on what proved to be an all-around dismal trading session for the stock market, with the S&P 500..., Headline: CBRE INVESTMENT MANAGEMENT LISTED REAL ASSETS LLC Buys 3, Sells 2 in 3rd Quarter, source:GuruFocus, summary: No summary, Headline: CBRE INVESTMENT MANAGEMENT LIS - GuruFocus.com, source:GuruFocus, summary: GuruFocus Article or News written by insider and the topic is about: ",XEL
32,2022-11-15,"Headline: IDU: Utilities Dashboard For November, source:SeekingAlpha, summary: Gas utilities are close to 11-year averages in valuation and quality. Water utilities are overvalued by 30% relative to their baseline. Read more here., Headline: Xcel Energy Inc. stock rises Tuesday, still underperforms market, source:MarketWatch, summary: Shares of Xcel Energy Inc. inched 0.84% higher to $67.39 Tuesday, on what proved to be an all-around favorable trading session for the stock market, with the...",XEL
33,2022-11-16,"Headline: Some CFOs Are Boosting Their Credit Lines as Insurance Against Recession, source:Yahoo, summary: Lofty prices and interest rates have complicated the economic outlook, while some pandemic-hardened CFOs recall the cushion that added borrowing capacity provided at the onset of lockdowns., Headline: Xcel Energy Inc. stock rises Wednesday, outperforms market, source:MarketWatch, summary: Shares of Xcel Energy Inc. rallied 1.38% to $68.32 Wednesday, on what proved to be an all-around poor trading session for the stock market, with the S&P 500...",XEL
34,2022-11-17,"Headline: A fantastic week for Xcel Energy Inc.'s (NASDAQ:XEL) 80% institutional owners, one-year returns continue to impress, source:Yahoo, summary: If you want to know who really controls Xcel Energy Inc. ( NASDAQ:XEL ), then you'll have to look at the makeup of its..., Headline: Xcel Energy Inc. stock underperforms Thursday when compared to competitors, source:MarketWatch, summary: Shares of Xcel Energy Inc. shed 1.73% to $67.14 Thursday, on what proved to be an all-around poor trading session for the stock market, with the S&P 500...",XEL
35,2022-11-18,"Headline: Xcel Energy Inc. stock outperforms market on strong trading day, source:MarketWatch, summary: Shares of Xcel Energy Inc. rose 1.85% to $68.38 Friday, on what proved to be an all-around favorable trading session for the stock market, with the S&P 500...",XEL
36,2022-11-21,"Headline: Xcel Energy downgraded to Neutral from Outperform at Credit Suisse, source:Thefly.com, summary: No summary, Headline: IN BRIEF: Xcel Energy subsidiary files case to increase base rate, source:Alliance News, summary: No summary, Headline: Xcel Energy Inc. stock outperforms market on strong trading day, source:MarketWatch, summary: Shares of Xcel Energy Inc. inched 0.44% higher to $68.68 Monday, on what proved to be an all-around dismal trading session for the stock market, with the S&P...",XEL
37,2022-11-22,"Headline: Xcel Energy Inc. stock rises Tuesday, still underperforms market, source:MarketWatch, summary: Shares of Xcel Energy Inc. inched 0.25% higher to $68.85 Tuesday, on what proved to be an all-around positive trading session for the stock market, with the...",XEL
38,2022-11-23,"Headline: Xcel Energy Inc. stock rises Wednesday, still underperforms market, source:MarketWatch, summary: Shares of Xcel Energy Inc. inched 0.51% higher to $69.20 Wednesday, on what proved to be an all-around great trading session for the stock market, with the...",XEL
39,2022-11-29,"Headline: The Highest Quality Dividend Achievers, source:SeekingAlpha, summary: Dividend Achievers are companies with a track record of at least 10 straight years of dividend growth. Check out my stock recommendations based on the same., Headline: Xcel Energy Inc. stock outperforms competitors despite losses on the day, source:MarketWatch, summary: Shares of Xcel Energy Inc. dropped 0.78% to $68.85 Tuesday, on what proved to be an all-around mixed trading session for the stock market, with the Dow Jones...",XEL
40,2022-11-30,"Headline: Xcel Energy Inc. stock falls Thursday, still outperforms market, source:MarketWatch, summary: No summary",XEL
41,2022-12-01,"Headline: Xcel Energy seeks electricity rate hike for 2023, pay for new grid projects, source:Yahoo, summary: Colorado's largest power utility eyes upgrades, but they mean higher bills for customers. Here's how much., Headline: Investing in Xcel Energy (NASDAQ:XEL) five years ago would have delivered you a 58% gain, source:Yahoo, summary: If you buy and hold a stock for many years, you'd hope to be making a profit. But more than that, you probably want to..., Headline: Xcel Energy Inc. stock underperforms Friday when compared to competitors, source:MarketWatch, summary: No summary",XEL
42,2022-12-04,"Headline: Xcel Energy Inc. stock falls Monday, still outperforms market, source:MarketWatch, summary: No summary",XEL
43,2022-12-05,"Headline: New Trifecta stock picks from Oppenheimer include TXN, MS, ETSY, source:Seeking Alpha, summary: No summary",XEL
44,2022-12-07,"Headline: Xcel Energy Inc. stock underperforms Wednesday when compared to competitors, source:MarketWatch, summary: Shares of Xcel Energy Inc. shed 0.65% to $68.87 Wednesday, on what proved to be an all-around dismal trading session for the stock market, with the Dow Jones...",XEL
45,2022-12-08,"Headline: Xcel Energy Inc. stock outperforms market on strong trading day, source:MarketWatch, summary: Shares of Xcel Energy Inc. rallied 1.36% to $69.81 Thursday, on what proved to be an all-around positive trading session for the stock market, with the S&P...",XEL
46,2022-12-09,"Headline: DNP: Excellent Income Fund But Best To Sit On The Sidelines, source:SeekingAlpha, summary: DNP Select Income Fund has enjoyed more consistency over the years than pretty much any other fund in the market. Read why I think the fund is overvalued right now., Headline: Xcel Energy (XEL) Presents at Wells Fargo 21st Annual Midstream & Utilities Symposium, source:SeekingAlpha, summary: The following slide deck was published by Xcel Energy Inc.",XEL
